id,label
0,Fake
1,Fake
2,Fake
3,Fake
4,Fake
5,Fake
6,Fake
7,Fake
8,Fake
9,Fake
10,Fake
11,Fake
12,Fake
13,Fake
14,Fake
15,Fake
16,Fake
17,Fake
18,Fake
19,Fake
20,Fake
21,Fake
22,Fake
23,Fake
24,Fake
25,Fake
26,Fake
27,Fake
28,Fake
29,Fake
30,Fake
31,Fake
32,Fake
33,Fake
34,Fake
35,Fake
36,Fake
37,Fake
38,Fake
39,Fake
40,Fake
41,Fake
42,Fake
43,Fake
44,Fake
45,Fake
46,Fake
47,Fake
48,Fake
49,Fake
50,Fake
51,Fake
52,Fake
53,Fake
54,Fake
55,Fake
56,Fake
57,Fake
58,Fake
59,Fake
60,Fake
61,Fake
62,Fake
63,Fake
64,Fake
65,Fake
66,Fake
67,Fake
68,Fake
69,Fake
70,Fake
71,Fake
72,Fake
73,Fake
74,Fake
75,Fake
76,Fake
77,Fake
78,Fake
79,Fake
80,Fake
81,Fake
82,Fake
83,Fake
84,Fake
85,Fake
86,Fake
87,Fake
88,Fake
89,Fake
90,Fake
91,Fake
92,Fake
93,Fake
94,Fake
95,Fake
96,Fake
97,Fake
98,Fake
99,Fake
100,Fake
101,Fake
102,Fake
103,Fake
104,Fake
105,Fake
106,Fake
107,Fake
108,Fake
109,Fake
110,Fake
111,Fake
112,Fake
113,Fake
114,Fake
115,Fake
116,Fake
117,Fake
118,Fake
119,Fake
120,Fake
121,Fake
122,Fake
123,Fake
124,Fake
125,Fake
126,Fake
127,Fake
128,Fake
129,Fake
130,Fake
131,Fake
132,Fake
133,Fake
134,Fake
135,Fake
136,Fake
137,Fake
138,Fake
139,Fake
140,Fake
141,Fake
142,Fake
143,Fake
144,Fake
145,Fake
146,Fake
147,Fake
148,Fake
149,Fake
150,Fake
151,Fake
152,Fake
153,Fake
154,Fake
155,Fake
156,Fake
157,Fake
158,Fake
159,Fake
160,Fake
161,Fake
162,Fake
163,Fake
164,Fake
165,Fake
166,Fake
167,Fake
168,Fake
169,Fake
170,Fake
171,Fake
172,Fake
173,Fake
174,Fake
175,Fake
176,Fake
177,Fake
178,Fake
179,Fake
180,Fake
181,Fake
182,Fake
183,Fake
184,Fake
185,Fake
186,Fake
187,Fake
188,Fake
189,Fake
190,Fake
191,Fake
192,Fake
193,Fake
194,Fake
195,Fake
196,Fake
197,Fake
198,Fake
199,Fake
200,Fake
201,Fake
202,Fake
203,Fake
204,Fake
205,Fake
206,Fake
207,Fake
208,Fake
209,Fake
210,Fake
211,Fake
212,Fake
213,Fake
214,Fake
215,Fake
216,Fake
217,Fake
218,Fake
219,Fake
220,Fake
221,Fake
222,Fake
223,Fake
224,Fake
225,Fake
226,Fake
227,Fake
228,Fake
229,Fake
230,Fake
231,Fake
232,Fake
233,Fake
234,Fake
235,Fake
236,Fake
237,Fake
238,Fake
239,Fake
240,Fake
241,Fake
242,Fake
243,Fake
244,Fake
245,Fake
246,Fake
247,Fake
248,Fake
249,Fake
250,Fake
251,Fake
252,Fake
253,Fake
254,Fake
255,Fake
256,Fake
257,Fake
258,Fake
259,Fake
260,Fake
261,Fake
262,Fake
263,Fake
264,Fake
265,Fake
266,Fake
267,Fake
268,Fake
269,Fake
270,Fake
271,Fake
